n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
300,3,direct,0,,direct,1,4,2,0.108,24.910,1.084,199.3,1444.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 300 -d 3,ZYX +PML
300,3,compact-r1,1,,compact-r1,4,1,2,0.089,30.220,0.893,241.8,1752.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 300 -d 3,ZYX +PML
300,3,compact-r2,2,,compact-r2,2,2,2,0.087,31.013,0.871,248.1,1798.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 300 -d 3,ZYX +PML
300,3,compact-fit-r2,3,,compact-fit,2,2,2,0.087,30.956,0.872,247.6,1795.4,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 300 -d 3,ZYX +PML
300,3,compact-fit,3,,compact-fit,2,3,2,0.099,27.334,0.988,218.7,1585.4,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 300 -d 3,ZYX +PML
350,3,direct,0,,direct,1,4,2,0.154,27.870,1.538,223.0,1616.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 350 -d 3,ZYX +PML
350,3,compact-r1,1,,compact-r1,4,1,2,0.125,34.293,1.250,274.3,1989.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 350 -d 3,ZYX +PML
350,3,compact-r2,2,,compact-r2,2,2,2,0.124,34.638,1.238,277.1,2009.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 350 -d 3,ZYX +PML
350,3,compact-fit-r2,3,,compact-fit,2,2,2,0.124,34.708,1.235,277.7,2013.1,0,STENCIL_RADIUS_FIT=2 STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 350 -d 3,ZYX +PML
350,3,compact-fit,3,,compact-fit,2,3,2,0.142,30.224,1.419,241.8,1753.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 350 -d 3,ZYX +PML
