n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
350,3,compact-r2,2,,compact-r2,2,2,2,0.131,32.804,1.307,262.4,1902.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 350 -d 3,ZYX +PML
350,3,compact-fit,3,,compact-fit,2,3,2,0.198,21.636,1.982,173.1,1254.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 350 -d 3,ZYX +PML
400,3,direct,0,,direct,1,4,2,0.308,20.785,3.079,166.3,1205.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 400 -d 3,ZYX +PML
400,3,compact-r1,1,,compact-r1,4,1,2,0.173,37.040,1.728,296.3,2148.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 400 -d 3,ZYX +PML
400,3,compact-r2,2,,compact-r2,2,2,2,0.195,32.833,1.949,262.7,1904.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 400 -d 3,ZYX +PML
400,3,compact-fit,3,,compact-fit,2,3,2,0.290,22.034,2.905,176.3,1278.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 400 -d 3,ZYX +PML
450,3,direct,0,,direct,1,4,2,0.446,20.432,4.460,163.5,1185.1,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 450 -d 3,ZYX +PML
450,3,compact-r1,1,,compact-r1,4,1,2,0.257,35.407,2.574,283.3,2053.6,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 450 -d 3,ZYX +PML
450,3,compact-r2,2,,compact-r2,2,2,2,0.277,32.905,2.769,263.2,1908.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 450 -d 3,ZYX +PML
450,3,compact-fit,3,,compact-fit,2,3,2,0.418,21.779,4.184,174.2,1263.2,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 450 -d 3,ZYX +PML
500,3,direct,0,,direct,1,4,2,0.586,21.342,5.857,170.7,1237.8,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 500 -d 3,ZYX +PML
500,3,compact-r1,1,,compact-r1,4,1,2,0.340,36.729,3.403,293.8,2130.3,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 500 -d 3,ZYX +PML
500,3,compact-r2,2,,compact-r2,2,2,2,0.358,34.879,3.584,279.0,2023.0,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 2 -n 500 -d 3,ZYX +PML
500,3,compact-fit,3,,compact-fit,2,3,2,0.539,23.188,5.391,185.5,1344.9,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 3 -n 500 -d 3,ZYX +PML
550,3,direct,0,,direct,1,4,2,0.800,20.788,8.004,166.3,1205.7,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 0 -n 550 -d 3,ZYX +PML
550,3,compact-r1,1,,compact-r1,4,1,2,0.445,37.353,4.454,298.8,2166.5,0,STENCIL_LAYOUT=2 STENCIL_PML=1 ./stencil.x -m 1 -n 550 -d 3,ZYX +PML
