n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command
450,3,direct,0,,direct,1,4,2,1.636,5.569,16.362,44.6,323.0,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 450 -d 3
450,3,compact-r1,1,,compact-r1,4,1,2,1.541,5.914,15.408,47.3,343.0,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 450 -d 3
450,3,compact-r2,2,,compact-r2,2,2,2,1.595,5.713,15.952,45.7,331.4,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 450 -d 3
450,3,compact-r1-trim3,1,3,compact-r1,4,1,2,1.319,6.908,13.191,55.3,400.7,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 450 -d 3
500,3,direct,0,,direct,1,4,2,2.075,6.023,20.754,48.2,349.3,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 500 -d 3
500,3,compact-r1,1,,compact-r1,4,1,2,1.956,6.392,19.557,51.1,370.7,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 500 -d 3
500,3,compact-r2,2,,compact-r2,2,2,2,2.044,6.116,20.439,48.9,354.7,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 500 -d 3
500,3,compact-r1-trim3,1,3,compact-r1,4,1,2,1.674,7.466,16.743,59.7,433.0,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 500 -d 3
550,3,direct,0,,direct,1,4,2,2.899,5.739,28.989,45.9,332.9,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 550 -d 3
550,3,compact-r1,1,,compact-r1,4,1,2,2.778,5.990,27.777,47.9,347.4,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 550 -d 3
550,3,compact-r2,2,,compact-r2,2,2,2,2.876,5.785,28.762,46.3,335.5,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 550 -d 3
550,3,compact-r1-trim3,1,3,compact-r1,4,1,2,2.395,6.948,23.947,55.6,403.0,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 550 -d 3
600,3,direct,0,,direct,1,4,2,3.501,6.169,35.011,49.4,357.8,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 600 -d 3
600,3,compact-r1,1,,compact-r1,4,1,2,3.301,6.544,33.008,52.4,379.6,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 600 -d 3
600,3,compact-r2,2,,compact-r2,2,2,2,3.422,6.312,34.219,50.5,366.1,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 600 -d 3
600,3,compact-r1-trim3,1,3,compact-r1,4,1,2,2.836,7.616,28.363,60.9,441.7,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 600 -d 3
650,3,direct,0,,direct,1,4,2,4.759,5.770,47.593,46.2,334.7,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 650 -d 3
650,3,compact-r1,1,,compact-r1,4,1,2,4.531,6.061,45.309,48.5,351.5,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 650 -d 3
650,3,compact-r2,2,,compact-r2,2,2,2,4.667,5.885,46.667,47.1,341.3,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 650 -d 3
650,3,compact-r1-trim3,1,3,compact-r1,4,1,2,3.905,7.033,39.050,56.3,407.9,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 650 -d 3
700,3,direct,0,,direct,1,4,2,5.618,6.106,56.177,48.8,354.1,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 700 -d 3
700,3,compact-r1,1,,compact-r1,4,1,2,5.362,6.397,53.617,51.2,371.0,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 700 -d 3
700,3,compact-r2,2,,compact-r2,2,2,2,5.500,6.237,54.997,49.9,361.7,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 700 -d 3
700,3,compact-r1-trim3,1,3,compact-r1,4,1,2,4.654,7.371,46.535,59.0,427.5,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 700 -d 3
750,3,direct,0,,direct,1,4,2,7.342,5.746,73.422,46.0,333.3,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 750 -d 3
750,3,compact-r1,1,,compact-r1,4,1,2,6.922,6.094,69.224,48.8,353.5,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 750 -d 3
750,3,compact-r2,2,,compact-r2,2,2,2,7.199,5.860,71.993,46.9,339.9,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 750 -d 3
750,3,compact-r1-trim3,1,3,compact-r1,4,1,2,5.999,7.033,59.988,56.3,407.9,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 750 -d 3
800,3,direct,0,,direct,1,4,2,8.083,6.334,80.835,50.7,367.4,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 800 -d 3
800,3,compact-r1,1,,compact-r1,4,1,2,7.615,6.724,76.147,53.8,390.0,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 800 -d 3
800,3,compact-r2,2,,compact-r2,2,2,2,7.907,6.475,79.070,51.8,375.5,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 800 -d 3
800,3,compact-r1-trim3,1,3,compact-r1,4,1,2,6.552,7.814,65.523,62.5,453.2,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 800 -d 3
850,3,direct,0,,direct,1,4,2,10.693,5.743,106.934,45.9,333.1,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 850 -d 3
850,3,compact-r1,1,,compact-r1,4,1,2,10.132,6.061,101.324,48.5,351.5,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 850 -d 3
850,3,compact-r2,2,,compact-r2,2,2,2,10.487,5.856,104.867,46.8,339.6,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 850 -d 3
850,3,compact-r1-trim3,1,3,compact-r1,4,1,2,8.797,6.981,87.971,55.8,404.9,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 850 -d 3
