n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
500,3,compact-r1,1,,compact-r1,4,1,2,0.383,32.624,3.832,261.0,1892.2,0,./stencil.x -m 1 -n 500 -d 3,XYZ
500,3,compact-r2,2,,compact-r2,2,2,2,0.391,31.999,3.906,256.0,1855.9,0,./stencil.x -m 2 -n 500 -d 3,XYZ
500,3,compact-fit,3,,compact-fit,2,3,2,0.402,31.104,4.019,248.8,1804.0,0,./stencil.x -m 3 -n 500 -d 3,XYZ
550,3,direct,0,,direct,1,4,2,0.545,30.541,5.448,244.3,1771.4,0,./stencil.x -m 0 -n 550 -d 3,XYZ
550,3,compact-r1,1,,compact-r1,4,1,2,0.513,32.446,5.128,259.6,1881.9,0,./stencil.x -m 1 -n 550 -d 3,XYZ
550,3,compact-r2,2,,compact-r2,2,2,2,0.522,31.850,5.224,254.8,1847.3,0,./stencil.x -m 2 -n 550 -d 3,XYZ
550,3,compact-fit,3,,compact-fit,2,3,2,0.537,30.974,5.371,247.8,1796.5,0,./stencil.x -m 3 -n 550 -d 3,XYZ
600,3,direct,0,,direct,1,4,2,0.660,32.725,6.600,261.8,1898.1,0,./stencil.x -m 0 -n 600 -d 3,XYZ
600,3,compact-r1,1,,compact-r1,4,1,2,0.622,34.731,6.219,277.8,2014.4,0,./stencil.x -m 1 -n 600 -d 3,XYZ
600,3,compact-r2,2,,compact-r2,2,2,2,0.636,33.976,6.357,271.8,1970.6,0,./stencil.x -m 2 -n 600 -d 3,XYZ
600,3,compact-fit,3,,compact-fit,2,3,2,0.648,33.319,6.483,266.5,1932.5,0,./stencil.x -m 3 -n 600 -d 3,XYZ
650,3,direct,0,,direct,1,4,2,0.908,30.240,9.081,241.9,1753.9,0,./stencil.x -m 0 -n 650 -d 3,XYZ
650,3,compact-r1,1,,compact-r1,4,1,2,0.864,31.801,8.636,254.4,1844.5,0,./stencil.x -m 1 -n 650 -d 3,XYZ
650,3,compact-r2,2,,compact-r2,2,2,2,0.877,31.323,8.767,250.6,1816.7,0,./stencil.x -m 2 -n 650 -d 3,XYZ
650,3,compact-fit,3,,compact-fit,2,3,2,0.893,30.739,8.934,245.9,1782.9,0,./stencil.x -m 3 -n 650 -d 3,XYZ
700,3,direct,0,,direct,1,4,2,1.110,30.905,11.098,247.2,1792.5,0,./stencil.x -m 0 -n 700 -d 3,XYZ
700,3,compact-r1,1,,compact-r1,4,1,2,1.044,32.868,10.436,262.9,1906.3,0,./stencil.x -m 1 -n 700 -d 3,XYZ
700,3,compact-r2,2,,compact-r2,2,2,2,1.064,32.242,10.638,257.9,1870.0,0,./stencil.x -m 2 -n 700 -d 3,XYZ
700,3,compact-fit,3,,compact-fit,2,3,2,1.092,31.417,10.918,251.3,1822.2,0,./stencil.x -m 3 -n 700 -d 3,XYZ
750,3,direct,0,,direct,1,4,2,1.390,30.354,13.899,242.8,1760.5,0,./stencil.x -m 0 -n 750 -d 3,XYZ
750,3,compact-r1,1,,compact-r1,4,1,2,1.316,32.051,13.163,256.4,1859.0,0,./stencil.x -m 1 -n 750 -d 3,XYZ
750,3,compact-r2,2,,compact-r2,2,2,2,1.331,31.699,13.309,253.6,1838.5,0,./stencil.x -m 2 -n 750 -d 3,XYZ
750,3,compact-fit,3,,compact-fit,2,3,2,1.361,30.996,13.610,248.0,1797.8,0,./stencil.x -m 3 -n 750 -d 3,XYZ
800,3,direct,0,,direct,1,4,2,1.404,36.473,14.038,291.8,2115.4,0,./stencil.x -m 0 -n 800 -d 3,XYZ
800,3,compact-r1,1,,compact-r1,4,1,2,1.317,38.864,13.174,310.9,2254.1,0,./stencil.x -m 1 -n 800 -d 3,XYZ
800,3,compact-r2,2,,compact-r2,2,2,2,1.345,38.065,13.451,304.5,2207.8,0,./stencil.x -m 2 -n 800 -d 3,XYZ
800,3,compact-fit,3,,compact-fit,2,3,2,1.382,37.058,13.816,296.5,2149.4,0,./stencil.x -m 3 -n 800 -d 3,XYZ
850,3,direct,0,,direct,1,4,2,2.121,28.948,21.215,231.6,1679.0,0,./stencil.x -m 0 -n 850 -d 3,XYZ
850,3,compact-r1,1,,compact-r1,4,1,2,1.950,31.501,19.495,252.0,1827.1,0,./stencil.x -m 1 -n 850 -d 3,XYZ
850,3,compact-r2,2,,compact-r2,2,2,2,1.990,30.861,19.900,246.9,1789.9,0,./stencil.x -m 2 -n 850 -d 3,XYZ
850,3,compact-fit,3,,compact-fit,2,3,2,2.061,29.803,20.606,238.4,1728.6,0,./stencil.x -m 3 -n 850 -d 3,XYZ
