n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
400,3,compact-r2,2,,compact-r2,2,2,2,0.365,17.547,3.647,140.4,1017.7,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 400 -d 3,XYZ
400,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.332,19.302,3.316,154.4,1119.5,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 400 -d 3,XYZ
450,3,direct,0,,direct,1,4,2,0.591,15.422,5.909,123.4,894.5,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 450 -d 3,XYZ
450,3,compact-r1,1,,compact-r1,4,1,2,0.568,16.042,5.680,128.3,930.4,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 450 -d 3,XYZ
450,3,compact-r2,2,,compact-r2,2,2,2,0.584,15.591,5.845,124.7,904.3,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 450 -d 3,XYZ
450,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.527,17.305,5.266,138.4,1003.7,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 450 -d 3,XYZ
500,3,direct,0,,direct,1,4,2,0.766,16.319,7.660,130.6,946.5,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 500 -d 3,XYZ
500,3,compact-r1,1,,compact-r1,4,1,2,0.741,16.859,7.414,134.9,977.8,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 500 -d 3,XYZ
500,3,compact-r2,2,,compact-r2,2,2,2,0.759,16.479,7.585,131.8,955.8,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 500 -d 3,XYZ
500,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.693,18.040,6.929,144.3,1046.3,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 500 -d 3,XYZ
550,3,direct,0,,direct,1,4,2,1.084,15.351,10.838,122.8,890.4,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 550 -d 3,XYZ
550,3,compact-r1,1,,compact-r1,4,1,2,1.038,16.023,10.384,128.2,929.3,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 550 -d 3,XYZ
550,3,compact-r2,2,,compact-r2,2,2,2,1.068,15.572,10.684,124.6,903.2,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 550 -d 3,XYZ
550,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.965,17.245,9.648,138.0,1000.2,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 550 -d 3,XYZ
600,3,direct,0,,direct,1,4,2,1.297,16.657,12.967,133.3,966.1,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 600 -d 3,XYZ
600,3,compact-r1,1,,compact-r1,4,1,2,1.257,17.186,12.569,137.5,996.8,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 600 -d 3,XYZ
600,3,compact-r2,2,,compact-r2,2,2,2,1.281,16.858,12.813,134.9,977.8,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 600 -d 3,XYZ
600,3,compact-r1-trim3,1,3,compact-r1,4,1,2,1.167,18.505,11.672,148.0,1073.3,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 600 -d 3,XYZ
650,3,direct,0,,direct,1,4,2,1.771,15.506,17.711,124.0,899.3,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 650 -d 3,XYZ
650,3,compact-r1,1,,compact-r1,4,1,2,1.703,16.122,17.035,129.0,935.1,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 650 -d 3,XYZ
650,3,compact-r2,2,,compact-r2,2,2,2,1.756,15.643,17.555,125.1,907.3,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 650 -d 3,XYZ
650,3,compact-r1-trim3,1,3,compact-r1,4,1,2,1.590,17.275,15.897,138.2,1001.9,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 650 -d 3,XYZ
700,3,direct,0,,direct,1,4,2,2.087,16.437,20.867,131.5,953.3,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 700 -d 3,XYZ
700,3,compact-r1,1,,compact-r1,4,1,2,2.005,17.103,20.055,136.8,992.0,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 700 -d 3,XYZ
700,3,compact-r2,2,,compact-r2,2,2,2,2.063,16.629,20.627,133.0,964.5,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 700 -d 3,XYZ
700,3,compact-r1-trim3,1,3,compact-r1,4,1,2,1.876,18.284,18.759,146.3,1060.5,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 700 -d 3,XYZ
750,3,direct,0,,direct,1,4,2,2.725,15.481,27.251,123.8,897.9,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 750 -d 3,XYZ
750,3,compact-r1,1,,compact-r1,4,1,2,2.614,16.139,26.140,129.1,936.1,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 750 -d 3,XYZ
750,3,compact-r2,2,,compact-r2,2,2,2,2.686,15.706,26.861,125.6,910.9,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 750 -d 3,XYZ
750,3,compact-r1-trim3,1,3,compact-r1,4,1,2,2.430,17.362,24.299,138.9,1007.0,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 750 -d 3,XYZ
800,3,direct,0,,direct,1,4,2,2.949,17.360,29.493,138.9,1006.9,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 800 -d 3,XYZ
800,3,compact-r1,1,,compact-r1,4,1,2,2.867,17.859,28.669,142.9,1035.8,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 800 -d 3,XYZ
800,3,compact-r2,2,,compact-r2,2,2,2,2.924,17.508,29.244,140.1,1015.5,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 800 -d 3,XYZ
800,3,compact-r1-trim3,1,3,compact-r1,4,1,2,2.673,19.153,26.733,153.2,1110.9,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 800 -d 3,XYZ
850,3,direct,0,,direct,1,4,2,3.954,15.533,39.538,124.3,900.9,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 850 -d 3,XYZ
850,3,compact-r1,1,,compact-r1,4,1,2,3.765,16.309,37.655,130.5,945.9,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 850 -d 3,XYZ
850,3,compact-r2,2,,compact-r2,2,2,2,3.875,15.847,38.753,126.8,919.1,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 850 -d 3,XYZ
850,3,compact-r1-trim3,1,3,compact-r1,4,1,2,3.528,17.408,35.279,139.3,1009.7,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 850 -d 3,XYZ
