n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
400,3,compact-r2,2,,compact-r2,2,2,1,0.441,14.515,4.409,116.1,841.9,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 400 -d 3,XYZ
400,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.386,16.593,3.857,132.7,962.4,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 400 -d 3,XYZ
450,3,direct,0,,direct,1,4,1,0.712,12.791,7.124,102.3,741.9,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 450 -d 3,XYZ
450,3,compact-r1,1,,compact-r1,4,1,1,0.677,13.466,6.767,107.7,781.0,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 450 -d 3,XYZ
450,3,compact-r2,2,,compact-r2,2,2,1,0.693,13.153,6.928,105.2,762.9,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 450 -d 3,XYZ
450,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.601,15.174,6.005,121.4,880.1,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 450 -d 3,XYZ
500,3,direct,0,,direct,1,4,1,0.909,13.754,9.088,110.0,797.7,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 500 -d 3,XYZ
500,3,compact-r1,1,,compact-r1,4,1,1,0.866,14.431,8.662,115.4,837.0,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 500 -d 3,XYZ
500,3,compact-r2,2,,compact-r2,2,2,1,0.887,14.090,8.871,112.7,817.2,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 500 -d 3,XYZ
500,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.764,16.371,7.636,131.0,949.5,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 500 -d 3,XYZ
550,3,direct,0,,direct,1,4,1,1.281,12.983,12.815,103.9,753.0,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 550 -d 3,XYZ
550,3,compact-r1,1,,compact-r1,4,1,1,1.221,13.621,12.214,109.0,790.0,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 550 -d 3,XYZ
550,3,compact-r2,2,,compact-r2,2,2,1,1.247,13.347,12.466,106.8,774.1,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 550 -d 3,XYZ
550,3,compact-r1-trim3,1,3,compact-r1,4,1,1,1.081,15.388,10.812,123.1,892.5,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 550 -d 3,XYZ
600,3,direct,0,,direct,1,4,1,1.571,13.745,15.715,110.0,797.2,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 600 -d 3,XYZ
600,3,compact-r1,1,,compact-r1,4,1,1,1.501,14.392,15.009,115.1,834.7,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 600 -d 3,XYZ
600,3,compact-r2,2,,compact-r2,2,2,1,1.538,14.041,15.384,112.3,814.4,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 600 -d 3,XYZ
600,3,compact-r1-trim3,1,3,compact-r1,4,1,1,1.347,16.033,13.472,128.3,929.9,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 600 -d 3,XYZ
650,3,direct,0,,direct,1,4,1,2.097,13.099,20.966,104.8,759.7,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 650 -d 3,XYZ
650,3,compact-r1,1,,compact-r1,4,1,1,1.998,13.747,19.977,110.0,797.3,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 650 -d 3,XYZ
650,3,compact-r2,2,,compact-r2,2,2,1,2.038,13.473,20.384,107.8,781.4,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 650 -d 3,XYZ
650,3,compact-r1-trim3,1,3,compact-r1,4,1,1,1.799,15.266,17.990,122.1,885.4,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 650 -d 3,XYZ
700,3,direct,0,,direct,1,4,1,2.498,13.730,24.982,109.8,796.3,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 700 -d 3,XYZ
700,3,compact-r1,1,,compact-r1,4,1,1,2.408,14.244,24.080,114.0,826.2,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 700 -d 3,XYZ
700,3,compact-r2,2,,compact-r2,2,2,1,2.455,13.969,24.554,111.8,810.2,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 700 -d 3,XYZ
700,3,compact-r1-trim3,1,3,compact-r1,4,1,1,2.157,15.901,21.571,127.2,922.3,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 700 -d 3,XYZ
