n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
400,3,compact-r2,2,,compact-r2,2,2,1,0.391,16.378,3.908,131.0,949.9,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 400 -d 3,XYZ
400,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.352,18.170,3.522,145.4,1053.9,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 400 -d 3,XYZ
450,3,direct,0,,direct,1,4,1,0.646,14.116,6.455,112.9,818.7,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 450 -d 3,XYZ
450,3,compact-r1,1,,compact-r1,4,1,1,0.640,14.232,6.403,113.9,825.5,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 450 -d 3,XYZ
450,3,compact-r2,2,,compact-r2,2,2,1,0.662,13.769,6.618,110.2,798.6,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 450 -d 3,XYZ
450,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.566,16.087,5.664,128.7,933.0,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 450 -d 3,XYZ
500,3,direct,0,,direct,1,4,1,0.811,15.405,8.114,123.2,893.5,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 500 -d 3,XYZ
500,3,compact-r1,1,,compact-r1,4,1,1,0.775,16.123,7.753,129.0,935.1,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 500 -d 3,XYZ
500,3,compact-r2,2,,compact-r2,2,2,1,0.787,15.886,7.869,127.1,921.4,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 500 -d 3,XYZ
500,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.693,18.027,6.934,144.2,1045.6,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 500 -d 3,XYZ
550,3,direct,0,,direct,1,4,1,1.146,14.514,11.463,116.1,841.8,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 550 -d 3,XYZ
550,3,compact-r1,1,,compact-r1,4,1,1,1.087,15.308,10.869,122.5,887.9,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 550 -d 3,XYZ
550,3,compact-r2,2,,compact-r2,2,2,1,1.114,14.930,11.143,119.4,865.9,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 550 -d 3,XYZ
550,3,compact-r1-trim3,1,3,compact-r1,4,1,1,0.961,17.318,9.607,138.5,1004.4,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 550 -d 3,XYZ
600,3,direct,0,,direct,1,4,1,1.383,15.620,13.828,125.0,906.0,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 600 -d 3,XYZ
600,3,compact-r1,1,,compact-r1,4,1,1,1.324,16.312,13.242,130.5,946.1,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 600 -d 3,XYZ
600,3,compact-r2,2,,compact-r2,2,2,1,1.363,15.851,13.627,126.8,919.4,0,STENCIL_INT8=1 ./stencil.x -m 2 -n 600 -d 3,XYZ
600,3,compact-r1-trim3,1,3,compact-r1,4,1,1,1.174,18.397,11.741,147.2,1067.0,0,STENCIL_INT8=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 600 -d 3,XYZ
650,3,direct,0,,direct,1,4,1,1.888,14.544,18.882,116.4,843.6,0,STENCIL_INT8=1 ./stencil.x -m 0 -n 650 -d 3,XYZ
650,3,compact-r1,1,,compact-r1,4,1,1,1.849,14.851,18.492,118.8,861.4,0,STENCIL_INT8=1 ./stencil.x -m 1 -n 650 -d 3,XYZ
