n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command
650,3,staged-r2,2,,staged-r2,2,2,2,3.282,8.368,32.818,66.9,485.3,0,./stencil.x -m 2 -n 650 -d 3
650,3,staged-r1-trim3,1,3,staged-r1,4,1,2,3.079,8.918,30.794,71.3,517.2,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 650 -d 3
700,3,direct,0,,direct,1,4,2,3.962,8.657,39.621,69.3,502.1,0,./stencil.x -m 0 -n 700 -d 3
700,3,staged-r1,1,,staged-r1,4,1,2,3.862,8.882,38.619,71.1,515.2,0,./stencil.x -m 1 -n 700 -d 3
700,3,staged-r2,2,,staged-r2,2,2,2,3.908,8.778,39.075,70.2,509.1,0,./stencil.x -m 2 -n 700 -d 3
700,3,staged-r1-trim3,1,3,staged-r1,4,1,2,3.696,9.280,36.963,74.2,538.2,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 700 -d 3
750,3,direct,0,,direct,1,4,2,5.052,8.350,50.521,66.8,484.3,0,./stencil.x -m 0 -n 750 -d 3
750,3,staged-r1,1,,staged-r1,4,1,2,4.923,8.569,49.234,68.6,497.0,0,./stencil.x -m 1 -n 750 -d 3
750,3,staged-r2,2,,staged-r2,2,2,2,4.995,8.445,49.954,67.6,489.8,0,./stencil.x -m 2 -n 750 -d 3
750,3,staged-r1-trim3,1,3,staged-r1,4,1,2,4.705,8.966,47.050,71.7,520.0,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 750 -d 3
800,3,direct,0,,direct,1,4,2,5.550,9.225,55.504,73.8,535.0,0,./stencil.x -m 0 -n 800 -d 3
800,3,staged-r1,1,,staged-r1,4,1,2,5.445,9.403,54.451,75.2,545.4,0,./stencil.x -m 1 -n 800 -d 3
800,3,staged-r2,2,,staged-r2,2,2,2,5.506,9.298,55.063,74.4,539.3,0,./stencil.x -m 2 -n 800 -d 3
800,3,staged-r1-trim3,1,3,staged-r1,4,1,2,5.159,9.925,51.588,79.4,575.7,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 800 -d 3
850,3,direct,0,,direct,1,4,2,7.492,8.197,74.920,65.6,475.4,0,./stencil.x -m 0 -n 850 -d 3
850,3,staged-r1,1,,staged-r1,4,1,2,7.324,8.385,73.241,67.1,486.3,0,./stencil.x -m 1 -n 850 -d 3
850,3,staged-r2,2,,staged-r2,2,2,2,7.415,8.282,74.154,66.3,480.4,0,./stencil.x -m 2 -n 850 -d 3
850,3,staged-r1-trim3,1,3,staged-r1,4,1,2,6.977,8.802,69.768,70.4,510.5,0,STENCIL_TRIM=3 ./stencil.x -m 1 -n 850 -d 3
