n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
500,3,compact-r1,1,,compact-r1,4,1,2,0.232,53.893,2.319,431.1,3125.8,0,./stencil.x -m 1 -n 500 -d 3,XYZ
500,3,compact-r2,2,,compact-r2,2,2,2,0.247,50.564,2.472,404.5,2932.7,0,./stencil.x -m 2 -n 500 -d 3,XYZ
500,3,compact-fit,3,,compact-fit,2,3,2,0.260,48.136,2.597,385.1,2791.9,0,./stencil.x -m 3 -n 500 -d 3,XYZ
550,3,direct,0,,direct,1,4,2,0.439,37.922,4.387,303.4,2199.5,0,./stencil.x -m 0 -n 550 -d 3,XYZ
550,3,compact-r1,1,,compact-r1,4,1,2,0.343,48.438,3.435,387.5,2809.4,0,./stencil.x -m 1 -n 550 -d 3,XYZ
550,3,compact-r2,2,,compact-r2,2,2,2,0.350,47.511,3.502,380.1,2755.6,0,./stencil.x -m 2 -n 550 -d 3,XYZ
550,3,compact-fit,3,,compact-fit,2,3,2,0.371,44.891,3.706,359.1,2603.7,0,./stencil.x -m 3 -n 550 -d 3,XYZ
600,3,direct,0,,direct,1,4,2,0.510,42.335,5.102,338.7,2455.4,0,./stencil.x -m 0 -n 600 -d 3,XYZ
600,3,compact-r1,1,,compact-r1,4,1,2,0.402,53.712,4.021,429.7,3115.3,0,./stencil.x -m 1 -n 600 -d 3,XYZ
600,3,compact-r2,2,,compact-r2,2,2,2,0.404,53.487,4.038,427.9,3102.2,0,./stencil.x -m 2 -n 600 -d 3,XYZ
600,3,compact-fit,3,,compact-fit,2,3,2,0.454,47.573,4.540,380.6,2759.2,0,./stencil.x -m 3 -n 600 -d 3,XYZ
650,3,direct,0,,direct,1,4,2,0.721,38.085,7.211,304.7,2208.9,0,./stencil.x -m 0 -n 650 -d 3,XYZ
650,3,compact-r1,1,,compact-r1,4,1,2,0.562,48.856,5.621,390.9,2833.6,0,./stencil.x -m 1 -n 650 -d 3,XYZ
650,3,compact-r2,2,,compact-r2,2,2,2,0.573,47.896,5.734,383.2,2778.0,0,./stencil.x -m 2 -n 650 -d 3,XYZ
650,3,compact-fit,3,,compact-fit,2,3,2,0.637,43.137,6.366,345.1,2501.9,0,./stencil.x -m 3 -n 650 -d 3,XYZ
700,3,direct,0,,direct,1,4,2,0.882,38.875,8.823,311.0,2254.8,0,./stencil.x -m 0 -n 700 -d 3,XYZ
700,3,compact-r1,1,,compact-r1,4,1,2,0.687,49.962,6.865,399.7,2897.8,0,./stencil.x -m 1 -n 700 -d 3,XYZ
700,3,compact-r2,2,,compact-r2,2,2,2,0.712,48.181,7.119,385.4,2794.5,0,./stencil.x -m 2 -n 700 -d 3,XYZ
700,3,compact-fit,3,,compact-fit,2,3,2,0.786,43.614,7.864,348.9,2529.6,0,./stencil.x -m 3 -n 700 -d 3,XYZ
750,3,direct,0,,direct,1,4,2,1.132,37.259,11.323,298.1,2161.0,0,./stencil.x -m 0 -n 750 -d 3,XYZ
750,3,compact-r1,1,,compact-r1,4,1,2,0.882,47.806,8.825,382.5,2772.7,0,./stencil.x -m 1 -n 750 -d 3,XYZ
750,3,compact-r2,2,,compact-r2,2,2,2,0.906,46.551,9.063,372.4,2700.0,0,./stencil.x -m 2 -n 750 -d 3,XYZ
750,3,compact-fit,3,,compact-fit,2,3,2,1.015,41.574,10.148,332.6,2411.3,0,./stencil.x -m 3 -n 750 -d 3,XYZ
800,3,direct,0,,direct,1,4,2,1.265,40.462,12.654,323.7,2346.8,0,./stencil.x -m 0 -n 800 -d 3,XYZ
800,3,compact-r1,1,,compact-r1,4,1,2,0.974,52.558,9.742,420.5,3048.4,0,./stencil.x -m 1 -n 800 -d 3,XYZ
800,3,compact-r2,2,,compact-r2,2,2,2,1.013,50.566,10.125,404.5,2932.8,0,./stencil.x -m 2 -n 800 -d 3,XYZ
800,3,compact-fit,3,,compact-fit,2,3,2,1.124,45.533,11.245,364.3,2640.9,0,./stencil.x -m 3 -n 800 -d 3,XYZ
850,3,direct,0,,direct,1,4,2,1.652,37.171,16.521,297.4,2155.9,0,./stencil.x -m 0 -n 850 -d 3,XYZ
850,3,compact-r1,1,,compact-r1,4,1,2,1.261,48.702,12.610,389.6,2824.7,0,./stencil.x -m 1 -n 850 -d 3,XYZ
850,3,compact-r2,2,,compact-r2,2,2,2,1.312,46.822,13.116,374.6,2715.7,0,./stencil.x -m 2 -n 850 -d 3,XYZ
850,3,compact-fit,3,,compact-fit,2,3,2,1.468,41.843,14.677,334.7,2426.9,0,./stencil.x -m 3 -n 850 -d 3,XYZ
