n,dims,case,method_arg,trim,reported_method,k_steps,r_per_step,strips_per_wg,time_s,gpoints_s,ms_per_step,bandwidth_gbs,gflops_s,returncode,command,layout
400,3,compact-r2,2,,compact-r2,2,2,2,0.305,20.992,3.049,167.9,1217.5,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 400 -d 3,XYZ
400,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.293,21.869,2.926,175.0,1268.4,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 400 -d 3,XYZ
450,3,direct,0,,direct,1,4,2,0.531,17.148,5.314,137.2,994.6,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 450 -d 3,XYZ
450,3,compact-r1,1,,compact-r1,4,1,2,0.529,17.235,5.287,137.9,999.6,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 450 -d 3,XYZ
450,3,compact-r2,2,,compact-r2,2,2,2,0.519,17.548,5.193,140.4,1017.8,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 450 -d 3,XYZ
450,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.482,18.919,4.817,151.4,1097.3,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 450 -d 3,XYZ
500,3,direct,0,,direct,1,4,2,0.677,18.459,6.772,147.7,1070.6,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 500 -d 3,XYZ
500,3,compact-r1,1,,compact-r1,4,1,2,0.645,19.377,6.451,155.0,1123.9,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 500 -d 3,XYZ
500,3,compact-r2,2,,compact-r2,2,2,2,0.681,18.348,6.813,146.8,1064.2,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 500 -d 3,XYZ
500,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.603,20.727,6.031,165.8,1202.2,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 500 -d 3,XYZ
550,3,direct,0,,direct,1,4,2,0.970,17.148,9.702,137.2,994.6,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 550 -d 3,XYZ
550,3,compact-r1,1,,compact-r1,4,1,2,0.913,18.222,9.130,145.8,1056.9,0,STENCIL_BF16=1 ./stencil.x -m 1 -n 550 -d 3,XYZ
550,3,compact-r2,2,,compact-r2,2,2,2,0.951,17.500,9.507,140.0,1015.0,0,STENCIL_BF16=1 ./stencil.x -m 2 -n 550 -d 3,XYZ
550,3,compact-r1-trim3,1,3,compact-r1,4,1,2,0.863,19.287,8.626,154.3,1118.6,0,STENCIL_BF16=1 STENCIL_TRIM=3 ./stencil.x -m 1 -n 550 -d 3,XYZ
600,3,direct,0,,direct,1,4,2,1.137,18.999,11.369,152.0,1101.9,0,STENCIL_BF16=1 ./stencil.x -m 0 -n 600 -d 3,XYZ
