8 Byte x 4096: 0.7 MB/s
16 Byte x 4096: 1.3 MB/s
32 Byte x 4096: 2.7 MB/s
64 Byte x 2048: 6.2 MB/s
128 Byte x 2048: 12.5 MB/s
256 Byte x 2048: 24.9 MB/s
512 Byte x 1024: 49.8 MB/s
1024 Byte x 1024: 99.1 MB/s
2048 Byte x 1024: 199.1 MB/s
4096 Byte x 512: 399.2 MB/s
8192 Byte x 512: 772.2 MB/s
16384 Byte x 512: 1326.7 MB/s
32768 Byte x 256: 2336.5 MB/s
65536 Byte x 256: 3864.8 MB/s
131072 Byte x 256: 4844.0 MB/s
262144 Byte x 128: 5333.5 MB/s
524288 Byte x 128: 5978.5 MB/s
1048576 Byte x 128: 6304.8 MB/s
2097152 Byte x 64: 6153.5 MB/s
4194304 Byte x 64: 6283.9 MB/s
8388608 Byte x 64: 6455.2 MB/s
16777216 Byte x 32: 6374.0 MB/s
33554432 Byte x 32: 6420.2 MB/s
67108864 Byte x 32: 6452.9 MB/s
134217728 Byte x 16: 6328.5 MB/s
268435456 Byte x 16: 5656.6 MB/s
536870912 Byte x 16: 5148.0 MB/s
1073741824 Byte x 8: 5264.3 MB/s

Finished after 5 s
max: 6455 MB/s
rgm: 5410 MB/s
avg: 3289 MB/s
