DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA A100 80GB PCIe [0x1f79];3;4;17;5;30000;997.9;12;4;1;3;0;1;-2;1;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;17;13;30000;1499.4;10;4;1;4;0;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;17;17;30000;1583.6;10;4;1;3;0;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;17;32;30000;1683.3;15;4;1;3;0;1;0;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;25;4;30000;1192.4;23;4;1;1;0;0;0;0;0;0;1;1;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;25;5;30000;1207.3;21;4;1;2;0;0;0;0;0;1;1;0;2;2;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;26;4;30000;1281.9;22;4;1;1;0;-2;0;1;0;1;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;28;4;30000;1351.6;18;4;1;1;0;-2;0;0;1;1;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;32;4;30000;1478.7;19;4;1;1;0;0;-2;1;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;32;5;30000;1745.4;19;4;1;2;1;1;-2;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;32;13;30000;2176.9;12;4;1;3;0;1;-1;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;32;17;30000;2303.1;13;4;1;3;0;1;1;0;0;0;1;1;1;2;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;4;32;32;30000;2351.8;25;4;1;4;0;1;-1;0;1;0;1;1;1;2;1;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;4;4;30000;572.8;9;1;1;2;1;0;-2;0;0;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;4;5;30000;655.3;12;1;1;1;1;0;0;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;4;7;30000;787.5;9;1;1;1;1;0;-2;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;4;9;30000;877.6;12;1;1;1;1;0;0;0;1;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;4;13;30000;834.9;10;1;1;2;0;0;-1;0;1;0;0;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;4;17;30000;1064.9;4;1;1;1;1;0;-2;0;1;0;1;0;0;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;4;25;30000;406.5;5;5;1;4;0;1;-2;0;0;0;0;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;4;32;30000;964.0;2;1;1;2;1;0;0;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;5;4;30000;699.9;10;1;1;5;1;0;-1;0;1;0;1;0;2;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;5;5;30000;480.7;18;5;1;2;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;5;7;30000;550.8;7;5;1;5;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;5;9;30000;510.9;25;5;1;5;0;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;5;13;30000;1210.0;10;1;1;2;1;0;-1;0;0;0;1;0;0;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;5;17;30000;1282.2;4;1;1;3;1;0;1;0;0;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;5;32;30000;643.4;5;5;1;2;0;-2;-1;0;0;0;1;1;1;2;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;7;4;30000;544.4;18;5;1;2;1;-1;-2;0;1;0;1;0;2;0;0;0
NVIDIA A100 80GB PCIe [0x1f79];3;5;7;5;30000;628.1;14;5;1;2;1;1;-2;0;1;0;1;0;1;2;0;0
