DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 80GB HBM3 [0x658e];3;4;28;4;30000;0;15;4;1;3;1;-1;-1;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;4;32;4;30000;0;12;4;1;1;1;0;-2;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;4;32;5;30000;0;18;4;1;1;1;1;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;4;32;13;30000;0;10;4;1;2;1;-1;1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;4;32;17;30000;0;10;4;1;2;1;1;4;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;4;32;32;30000;0;12;4;1;2;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;4;4;30000;0;10;5;1;1;1;-1;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;4;5;30000;0;10;5;1;2;1;-2;1;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;4;7;30000;0;15;5;1;2;1;0;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;4;9;30000;0;11;5;1;1;1;1;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;4;13;30000;0;12;5;1;4;5;-1;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;4;17;30000;0;12;5;1;2;5;-2;1;0;0;0;1;0;2;2;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;4;25;30000;0;8;5;1;3;5;-1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;4;32;30000;0;9;5;1;4;5;-2;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;5;4;30000;0;15;5;1;4;1;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;5;5;30000;0;11;5;1;1;1;-2;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;5;7;30000;0;12;5;1;5;1;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;5;9;30000;0;5;5;1;3;1;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;5;13;30000;0;10;5;1;3;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;5;17;30000;0;10;5;1;3;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;5;32;30000;0;3;5;1;4;1;-2;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;7;4;30000;0;9;5;1;2;1;0;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;7;5;30000;0;14;5;1;1;1;0;0;0;0;0;1;0;0;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;7;7;30000;0;11;5;1;2;1;0;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 80GB HBM3 [0x658e];3;5;7;9;30000;0;11;5;1;5;1;-2;0;0;0;0;1;0;1;0;0;0
