DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA GH200 480GB [0x3528];3;4;17;17;30000;2727.9;9;4;1;4;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;17;32;30000;3104.2;12;4;1;4;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;25;4;30000;2303.4;14;4;1;3;1;0;-1;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;25;5;30000;2399.4;14;4;1;2;25;-2;1;0;1;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;26;4;30000;2126.0;13;4;1;2;1;-1;1;0;1;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;28;4;30000;2534.5;14;4;1;3;1;-1;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;32;4;30000;2724.3;18;4;1;1;1;0;-2;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;4;32;5;30000;2949.7;14;4;1;1;1;-1;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;32;13;30000;4279.6;11;4;1;2;1;1;1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;32;17;30000;4151.7;8;4;1;2;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;4;32;32;30000;4963.5;13;4;1;4;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;4;4;30000;514.5;14;5;1;2;1;-1;-1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;4;5;30000;556.9;13;5;1;4;1;-2;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;4;7;30000;620.1;13;5;1;2;1;0;-2;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;4;9;30000;656.4;11;5;1;1;1;-2;0;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;4;13;30000;714.1;12;5;1;4;5;-1;-1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;4;17;30000;743.3;12;5;1;2;5;1;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;4;25;30000;778.9;12;5;1;4;5;0;-1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;4;32;30000;789.3;12;5;1;2;5;-1;1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;4;30000;629.4;11;5;1;1;1;1;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;5;30000;695.9;12;5;1;4;1;1;-2;0;1;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;7;30000;846.0;12;5;1;3;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;9;30000;918.8;12;5;1;2;1;-2;1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;13;30000;1015.3;5;5;1;4;1;-2;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;16;30000;896.8;8;5;1;2;5;1;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;17;30000;1081.5;4;5;1;4;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;24;30000;946.7;10;5;1;4;5;-1;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;26;30000;960.6;12;5;1;5;5;-1;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;28;30000;1160.8;19;5;1;3;5;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;5;32;30000;1199.7;3;5;1;3;1;1;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;7;4;30000;895.3;15;5;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;7;5;30000;961.0;13;5;1;4;1;-2;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;7;7;30000;1096.6;10;5;1;2;1;-1;1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;7;9;30000;1240.5;10;5;1;2;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;7;13;30000;1385.1;10;5;1;3;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;9;4;30000;1064.7;11;5;1;5;1;-1;0;0;1;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;9;5;30000;1204.8;13;5;1;1;1;1;-2;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;9;7;30000;1370.7;9;5;1;2;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;9;9;30000;1574.3;10;5;1;2;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;4;30000;1432.3;13;5;1;2;1;-1;-1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;5;30000;1662.9;13;5;1;1;1;0;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;7;30000;1901.1;8;5;1;3;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;13;30000;2527.5;10;5;1;2;1;1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;16;30000;2281.4;10;5;1;1;13;-1;-1;0;1;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;17;30000;2736.4;12;5;1;2;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;24;30000;2354.2;8;5;1;5;13;0;-1;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;26;30000;2006.6;14;5;1;3;13;-2;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;28;30000;2590.7;5;5;1;2;13;-2;-1;0;1;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;13;32;30000;2807.8;4;5;1;5;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;16;5;30000;1929.7;11;5;1;2;16;-2;1;0;1;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;16;13;30000;2625.6;11;5;1;4;16;-2;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;16;16;30000;2756.3;11;5;1;2;16;1;0;0;1;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;16;24;30000;2839.0;8;5;1;5;16;0;-1;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;16;26;30000;2849.5;8;5;1;2;16;0;1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;17;4;30000;1732.6;14;5;1;2;1;0;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;17;5;30000;2005.9;13;5;1;5;1;-2;-1;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;17;13;30000;2999.1;10;5;1;2;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;17;17;30000;3119.1;16;5;1;2;1;-2;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;17;32;30000;3569.7;10;5;1;2;1;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;24;5;30000;2550.3;16;5;1;1;24;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;24;13;30000;3530.1;10;5;1;3;24;-2;-1;0;1;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;24;16;30000;3673.3;8;5;1;5;24;1;-1;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;24;24;30000;3797.9;8;5;1;2;24;0;1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;24;26;30000;3483.4;12;5;1;4;24;-2;1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;25;4;30000;2537.4;18;5;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;26;5;30000;2693.6;17;5;1;1;26;-2;-1;0;1;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;26;13;30000;3596.9;14;5;1;2;26;-2;-1;0;1;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;26;16;30000;3817.1;8;5;1;5;26;-2;0;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;26;24;30000;3973.1;8;5;1;5;26;0;0;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;26;26;30000;4065.8;8;5;1;2;26;-2;1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;32;4;30000;2710.5;15;5;1;2;1;1;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;5;32;5;30000;3139.4;13;5;1;1;1;0;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;32;13;30000;4700.9;11;5;1;4;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;32;17;30000;4719.0;11;5;1;5;1;0;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;5;32;32;30000;5882.3;12;5;1;4;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;6;6;6;30000;1052.5;10;6;1;2;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;6;6;7;30000;1130.3;12;6;1;6;1;-1;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;6;6;8;30000;1194.6;12;6;1;3;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;6;7;6;30000;1060.3;10;6;1;4;1;1;-2;0;1;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;6;7;7;30000;1216.8;10;6;1;2;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;6;7;8;30000;1307.7;10;6;1;3;1;-2;1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;6;8;6;30000;1200.0;9;6;1;2;1;-2;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;6;8;7;30000;1371.3;10;6;1;6;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;6;8;8;30000;1490.6;10;6;1;2;1;0;1;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;4;4;30000;596.9;13;7;1;2;1;1;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;4;5;30000;594.5;13;7;1;4;1;-2;0;0;1;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;4;7;30000;695.5;13;7;1;2;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;4;9;30000;731.3;11;7;1;3;1;-1;2;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;4;13;30000;779.5;12;7;1;7;7;0;-1;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;5;4;30000;730.6;12;7;1;3;1;-2;-1;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;5;5;30000;772.4;11;7;1;3;1;0;0;0;0;0;1;0;0;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;5;7;30000;866.0;12;7;1;4;7;-2;0;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;5;9;30000;912.8;12;7;1;3;1;-2;-1;0;0;0;1;0;0;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;5;13;30000;959.8;12;7;1;3;1;-1;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;6;6;30000;970.9;11;7;1;4;1;0;-2;0;1;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;6;7;30000;1028.3;12;7;1;3;1;-1;2;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;6;8;30000;1047.5;12;7;1;2;1;1;-2;0;0;0;1;0;2;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;7;4;30000;1090.8;15;7;1;4;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;7;5;30000;1229.3;12;7;1;5;1;-2;0;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;7;6;30000;1253.5;10;7;1;4;1;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;7;7;30000;1402.8;10;7;1;6;1;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;7;8;30000;1506.3;12;7;1;5;1;0;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;7;9;30000;1561.5;10;7;1;4;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;7;13;30000;1748.2;12;7;1;7;1;-2;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;8;6;30000;1329.8;10;7;1;2;1;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;8;7;30000;1497.3;12;7;1;3;1;0;4;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;8;8;30000;1629.1;10;7;1;7;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA GH200 480GB [0x3528];3;7;9;4;30000;1239.0;14;7;1;1;1;-2;-2;0;0;0;1;0;2;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;9;5;30000;1356.1;10;7;1;4;1;-1;-1;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;9;7;30000;1666.1;12;7;1;5;1;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA GH200 480GB [0x3528];3;7;13;4;30000;1688.4;14;7;1;4;1;1;-1;0;0;0;1;0;0;0;0;0
