DEVICE;TYPEID;M;N;K;S;GFLOPS;BS;BM;BN;BK;WS;WG;LU;NZ;AL;TB;TC;AP;AA;AB;AC
NVIDIA H100 PCIe [0xa32d];3;4;17;17;30000;2180.6;12;4;1;4;1;-2;-2;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;17;32;30000;2342.1;15;4;1;3;1;-2;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;25;4;30000;1951.1;17;4;1;1;1;1;0;1;0;1;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;25;5;30000;2032.6;14;4;1;1;25;-1;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;26;4;30000;1925.6;19;4;1;1;1;0;-1;1;0;1;1;1;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;28;4;30000;2068.8;20;4;1;3;1;-1;-1;0;1;1;1;1;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;32;4;30000;2172.2;16;4;1;1;1;0;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;32;5;30000;2610.0;18;4;1;1;1;0;-2;0;1;1;1;1;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;32;13;30000;3318.1;12;4;1;2;1;-1;1;0;1;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;4;32;17;30000;3252.2;12;4;1;2;1;0;4;0;0;0;1;1;1;0;1;0
NVIDIA H100 PCIe [0xa32d];3;4;32;32;30000;3181.7;15;4;1;2;1;0;1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;4;4;30000;421.7;12;5;1;3;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;4;5;30000;466.0;14;5;1;2;1;-1;-1;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;4;7;30000;509.9;14;5;1;2;1;1;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;4;9;30000;535.8;14;5;1;4;1;1;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;4;13;30000;566.5;11;5;1;4;5;0;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;4;17;30000;586.6;12;5;1;2;5;0;3;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;4;25;30000;607.5;11;5;1;4;5;1;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;4;32;30000;619.5;12;5;1;5;5;0;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;5;4;30000;529.3;15;5;1;2;1;1;-2;0;1;1;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;5;5;30000;582.9;14;5;1;4;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;5;7;30000;665.0;6;5;1;5;1;0;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;5;9;30000;747.0;11;5;1;2;1;0;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;5;13;30000;805.2;5;5;1;3;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;5;17;30000;859.4;6;5;1;5;1;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;5;32;30000;927.4;6;5;1;3;1;-2;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;7;4;30000;731.0;16;5;1;2;1;0;-1;0;0;1;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;7;5;30000;778.8;14;5;1;3;1;-2;-2;0;1;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;7;7;30000;899.5;11;5;1;2;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;7;9;30000;966.9;12;5;1;3;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;7;13;30000;1090.3;6;5;1;4;1;-2;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;9;4;30000;933.2;18;5;1;2;1;-1;4;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;9;5;30000;1001.6;14;5;1;1;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;9;7;30000;1098.3;14;5;1;1;1;1;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;9;9;30000;1276.6;11;5;1;2;1;0;1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;4;30000;1274.5;21;5;1;2;1;-1;-1;0;1;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;5;30000;1388.3;15;5;1;1;1;0;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;7;30000;1520.5;14;5;1;4;1;0;-2;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;13;30000;2023.2;11;5;1;4;1;1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;17;30000;2124.4;11;5;1;2;1;-2;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;13;32;30000;2144.7;15;5;1;5;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;17;4;30000;1599.0;17;5;1;4;1;-1;-2;1;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;17;5;30000;1568.9;15;5;1;5;1;0;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;17;13;30000;2395.3;11;5;1;4;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;17;17;30000;2451.3;11;5;1;2;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;17;32;30000;2771.2;10;5;1;3;1;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;25;4;30000;2086.2;21;5;1;3;1;-1;0;1;0;1;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;5;32;4;30000;2564.6;19;5;1;2;1;-2;1;1;0;1;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;32;5;30000;2722.5;18;5;1;4;1;-2;-2;1;0;1;1;1;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;32;13;30000;3748.8;12;5;1;3;1;0;-1;1;1;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;32;17;30000;3640.7;12;5;1;3;1;0;-2;0;0;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;5;32;32;30000;3825.0;15;5;1;5;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;6;6;6;30000;853.9;6;6;1;5;1;1;0;0;1;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;6;6;7;30000;905.8;11;6;1;2;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;6;6;8;30000;943.8;11;6;1;3;1;0;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;6;7;6;30000;900.9;6;6;1;5;1;1;0;0;0;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;6;7;7;30000;990.2;11;6;1;2;1;-1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;6;7;8;30000;1066.6;11;6;1;6;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;6;8;6;30000;1040.5;10;6;1;3;1;1;-1;0;0;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;6;8;7;30000;1123.6;10;6;1;5;1;1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;6;8;8;30000;1214.6;11;6;1;2;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;4;30000;491.8;15;7;1;3;1;1;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;5;30000;517.3;14;7;1;2;1;0;3;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;7;30000;558.1;14;7;1;6;1;-2;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;9;30000;584.1;11;7;1;3;1;-2;2;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;4;13;30000;613.8;11;7;1;5;7;0;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;5;4;30000;600.8;15;7;1;1;1;-1;-2;0;1;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;5;5;30000;633.1;11;7;1;1;1;-2;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;5;7;30000;692.5;14;7;1;4;7;0;0;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;5;9;30000;724.5;12;7;1;1;1;0;-2;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;5;13;30000;753.8;12;7;1;7;1;-2;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;6;6;30000;794.2;15;7;1;2;1;-2;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;6;7;30000;823.2;15;7;1;2;1;0;4;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;6;8;30000;844.0;14;7;1;1;1;-2;0;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;4;30000;878.4;17;7;1;2;1;-1;1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;5;30000;977.7;14;7;1;4;1;1;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;6;30000;1049.3;11;7;1;4;1;-2;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;7;30000;1120.5;14;7;1;4;1;1;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;8;30000;1159.3;17;7;1;4;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;9;30000;1239.0;14;7;1;2;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;7;13;30000;1379.6;11;7;1;7;1;-1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;8;6;30000;1133.0;10;7;1;2;1;0;-1;0;0;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;8;7;30000;1228.6;11;7;1;2;1;1;4;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;8;8;30000;1315.8;11;7;1;4;1;-1;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;7;9;4;30000;1010.4;15;7;1;3;1;-2;-2;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;9;5;30000;1133.1;10;7;1;2;1;1;1;0;1;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;9;7;30000;1357.8;11;7;1;4;1;-2;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;13;4;30000;1325.9;13;7;1;5;1;0;-2;0;0;0;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;13;5;30000;1506.4;11;7;1;6;1;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;13;7;30000;1861.2;14;7;1;2;1;1;-1;1;0;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;7;13;13;30000;2289.5;14;7;1;6;1;-2;-1;0;1;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;8;6;6;30000;808.2;12;8;1;1;1;0;-2;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;8;6;7;30000;839.4;15;8;1;3;1;1;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;8;6;8;30000;863.8;12;8;1;3;1;-1;0;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;8;7;6;30000;933.7;14;8;1;4;1;-1;-1;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;8;7;7;30000;963.5;11;8;1;4;1;-2;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;8;7;8;30000;992.1;14;8;1;6;1;-1;0;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;8;8;6;30000;1277.1;10;8;1;2;1;1;1;1;0;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;8;8;7;30000;1408.8;14;8;1;3;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;8;8;8;30000;1448.3;14;8;1;6;1;0;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;4;4;30000;515.7;16;9;1;4;1;0;1;0;0;1;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;4;5;30000;546.7;11;9;1;1;1;-1;0;0;0;1;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;4;7;30000;585.8;11;9;1;4;1;-1;0;0;1;1;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;4;9;30000;658.4;11;8;1;9;9;1;-1;0;0;1;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;4;13;30000;639.1;12;9;1;8;9;0;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;5;4;30000;628.2;15;9;1;1;1;-2;-2;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;5;5;30000;673.9;14;9;1;7;1;-1;-1;0;0;1;1;0;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;5;7;30000;836.9;11;8;1;2;9;0;-1;0;1;1;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;5;9;30000;737.7;12;9;1;9;1;1;-1;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;7;4;30000;863.2;14;9;1;2;1;-2;1;0;1;1;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;7;5;30000;1053.3;10;8;1;9;1;1;0;0;0;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;7;7;30000;1143.0;11;8;1;5;1;1;2;0;0;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;4;30000;1238.6;17;9;1;7;1;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;5;30000;1379.9;18;9;1;9;1;1;-2;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;9;30000;1768.4;14;9;1;7;1;1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;16;30000;2009.0;22;9;1;9;1;1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;22;30000;1959.1;6;9;1;3;1;-2;-2;0;1;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;9;32;30000;2064.6;22;9;1;7;1;-2;-2;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;13;4;30000;1438.0;15;9;1;7;1;-1;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;16;9;30000;2738.4;17;9;1;7;1;0;-1;1;0;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;16;16;30000;3032.0;10;9;1;4;1;-2;3;1;1;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;16;22;30000;3048.0;10;9;1;2;1;1;1;0;0;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;22;9;30000;3360.2;18;9;1;6;1;0;0;1;0;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;9;22;16;30000;3765.4;12;9;1;4;1;-2;1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;22;22;30000;3964.6;13;9;1;7;1;-1;0;1;1;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;9;22;32;30000;4104.7;20;9;1;5;1;1;0;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;10;4;4;30000;524.2;15;10;1;6;1;0;0;0;1;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;10;4;10;30000;717.7;11;8;1;3;10;-2;3;0;0;1;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;10;10;4;30000;1410.3;17;10;1;4;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;10;10;10;30000;2119.6;17;10;1;3;1;1;-1;0;1;1;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;4;30000;677.5;9;8;1;13;1;1;0;0;1;1;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;5;30000;759.9;10;8;1;6;13;0;2;0;1;1;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;7;30000;797.5;11;8;1;13;1;-2;3;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;9;30000;820.4;6;8;1;11;13;-2;1;0;0;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;13;30000;931.2;6;8;1;4;13;-1;6;0;1;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;17;30000;1108.7;6;8;1;10;13;1;4;0;1;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;4;32;30000;1102.8;17;8;1;6;1;0;-1;0;0;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;5;4;30000;827.9;9;8;1;5;1;-2;3;0;0;0;1;0;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;5;5;30000;929.6;9;8;1;7;1;0;2;0;1;1;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;5;7;30000;993.7;11;8;1;10;1;1;2;0;0;0;1;0;0;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;5;13;30000;1124.9;10;8;1;4;13;1;4;0;1;1;1;1;2;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;5;17;30000;1162.0;10;8;1;4;1;-2;0;0;0;1;1;1;0;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;5;32;30000;1157.6;18;8;1;12;1;1;1;0;0;0;1;0;2;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;7;4;30000;1095.1;10;8;1;3;1;1;-1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;7;5;30000;1198.9;12;8;1;11;1;1;1;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;7;7;30000;1415.5;14;8;1;13;1;-1;3;1;1;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;7;13;30000;1681.5;14;8;1;2;1;-1;1;0;1;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;9;4;30000;1241.5;14;8;1;7;1;0;0;0;0;0;1;0;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;4;30000;1879.8;21;13;1;5;1;0;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;5;30000;2192.3;22;13;1;12;1;-2;-1;1;0;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;7;30000;2542.9;18;13;1;3;13;-2;-2;1;1;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;13;30000;3048.1;5;13;1;4;1;0;-2;0;1;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;17;30000;3055.9;17;13;1;10;1;1;0;0;0;1;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;13;32;30000;3316.0;24;13;1;7;1;-2;-1;0;0;0;1;0;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;17;4;30000;2062.2;18;13;1;10;1;1;-1;1;0;0;1;1;1;2;0;0
NVIDIA H100 PCIe [0xa32d];3;13;17;5;30000;2375.4;17;13;1;2;1;1;-1;1;1;0;1;1;1;0;0;0
NVIDIA H100 PCIe [0xa32d];3;13;17;13;30000;3428.6;18;13;1;9;1;1;0;1;0;0;1;1;1;2;0;0
